2022-10-21 01:46:32,274, INFO, Initializing postgresql and elasticsearch connection., root
2022-10-21 01:46:32,284, INFO, HEAD http://127.0.0.1:9200/movies [status:404 duration:0.005s], elastic_transport.transport
2022-10-21 01:46:32,284, INFO, Create index - movies., root
2022-10-21 01:46:32,462, INFO, PUT http://127.0.0.1:9200/movies [status:200 duration:0.110s], elastic_transport.transport
2022-10-21 01:46:32,462, INFO, Started loading., __main__
2022-10-21 01:46:32,506, INFO, PUT http://127.0.0.1:9200/_bulk [status:200 duration:0.005s], elastic_transport.transport
2022-10-21 01:49:02,754, INFO, Initializing postgresql and elasticsearch connection., root
2022-10-21 01:49:02,766, INFO, HEAD http://127.0.0.1:9200/movies [status:200 duration:0.006s], elastic_transport.transport
2022-10-21 01:49:02,766, INFO, Index movies is already created., root
2022-10-21 01:49:02,766, INFO, Started loading., __main__
2022-10-21 01:50:08,084, INFO, Initializing postgresql and elasticsearch connection., root
2022-10-21 01:50:08,093, INFO, HEAD http://127.0.0.1:9200/movies [status:404 duration:0.005s], elastic_transport.transport
2022-10-21 01:50:08,094, INFO, Create index - movies., root
2022-10-21 01:50:08,266, INFO, PUT http://127.0.0.1:9200/movies [status:200 duration:0.110s], elastic_transport.transport
2022-10-21 01:50:08,267, INFO, Started loading., __main__
2022-10-21 01:50:12,041, INFO, PUT http://127.0.0.1:9200/_bulk [status:200 duration:0.032s], elastic_transport.transport
2022-10-21 01:50:12,095, INFO, PUT http://127.0.0.1:9200/_bulk [status:200 duration:0.018s], elastic_transport.transport
2022-10-21 01:50:12,149, INFO, PUT http://127.0.0.1:9200/_bulk [status:200 duration:0.017s], elastic_transport.transport
2022-10-21 01:50:12,205, INFO, PUT http://127.0.0.1:9200/_bulk [status:200 duration:0.023s], elastic_transport.transport
2022-10-21 01:50:12,276, INFO, PUT http://127.0.0.1:9200/_bulk [status:200 duration:0.023s], elastic_transport.transport
2022-10-21 01:50:12,327, INFO, PUT http://127.0.0.1:9200/_bulk [status:200 duration:0.017s], elastic_transport.transport
2022-10-21 01:50:12,404, INFO, PUT http://127.0.0.1:9200/_bulk [status:200 duration:0.031s], elastic_transport.transport
2022-10-21 01:50:12,476, INFO, PUT http://127.0.0.1:9200/_bulk [status:200 duration:0.015s], elastic_transport.transport
2022-10-21 01:50:12,530, INFO, PUT http://127.0.0.1:9200/_bulk [status:200 duration:0.022s], elastic_transport.transport
2022-10-21 01:50:12,576, INFO, PUT http://127.0.0.1:9200/_bulk [status:200 duration:0.016s], elastic_transport.transport
2022-10-21 01:50:12,624, INFO, PUT http://127.0.0.1:9200/_bulk [status:200 duration:0.016s], elastic_transport.transport
2022-10-21 01:50:12,713, INFO, PUT http://127.0.0.1:9200/_bulk [status:200 duration:0.025s], elastic_transport.transport
2022-10-21 01:50:12,761, INFO, PUT http://127.0.0.1:9200/_bulk [status:200 duration:0.017s], elastic_transport.transport
2022-10-21 01:50:12,814, INFO, PUT http://127.0.0.1:9200/_bulk [status:200 duration:0.017s], elastic_transport.transport
2022-10-21 01:50:12,865, INFO, PUT http://127.0.0.1:9200/_bulk [status:200 duration:0.017s], elastic_transport.transport
2022-10-21 01:50:12,934, INFO, PUT http://127.0.0.1:9200/_bulk [status:200 duration:0.017s], elastic_transport.transport
2022-10-21 01:50:13,013, INFO, PUT http://127.0.0.1:9200/_bulk [status:200 duration:0.023s], elastic_transport.transport
2022-10-21 01:50:13,087, INFO, PUT http://127.0.0.1:9200/_bulk [status:200 duration:0.023s], elastic_transport.transport
2022-10-21 01:50:13,143, INFO, PUT http://127.0.0.1:9200/_bulk [status:200 duration:0.016s], elastic_transport.transport
2022-10-21 01:50:13,213, INFO, PUT http://127.0.0.1:9200/_bulk [status:200 duration:0.018s], elastic_transport.transport
2022-10-21 01:50:13,308, INFO, PUT http://127.0.0.1:9200/_bulk [status:200 duration:0.038s], elastic_transport.transport
2022-10-21 01:50:13,395, INFO, PUT http://127.0.0.1:9200/_bulk [status:200 duration:0.018s], elastic_transport.transport
2022-10-21 01:50:13,461, INFO, PUT http://127.0.0.1:9200/_bulk [status:200 duration:0.019s], elastic_transport.transport
2022-10-21 01:50:13,533, INFO, PUT http://127.0.0.1:9200/_bulk [status:200 duration:0.018s], elastic_transport.transport
2022-10-21 01:50:13,606, INFO, PUT http://127.0.0.1:9200/_bulk [status:200 duration:0.018s], elastic_transport.transport
2022-10-21 01:50:13,669, INFO, PUT http://127.0.0.1:9200/_bulk [status:200 duration:0.017s], elastic_transport.transport
2022-10-21 01:50:13,732, INFO, PUT http://127.0.0.1:9200/_bulk [status:200 duration:0.017s], elastic_transport.transport
2022-10-21 01:50:13,794, INFO, PUT http://127.0.0.1:9200/_bulk [status:200 duration:0.018s], elastic_transport.transport
2022-10-21 01:50:13,853, INFO, PUT http://127.0.0.1:9200/_bulk [status:200 duration:0.015s], elastic_transport.transport
2022-10-21 01:50:13,913, INFO, PUT http://127.0.0.1:9200/_bulk [status:200 duration:0.017s], elastic_transport.transport
2022-10-21 01:50:13,971, INFO, PUT http://127.0.0.1:9200/_bulk [status:200 duration:0.015s], elastic_transport.transport
2022-10-21 01:50:14,027, INFO, PUT http://127.0.0.1:9200/_bulk [status:200 duration:0.014s], elastic_transport.transport
2022-10-21 01:50:14,081, INFO, PUT http://127.0.0.1:9200/_bulk [status:200 duration:0.014s], elastic_transport.transport
2022-10-21 01:50:14,144, INFO, PUT http://127.0.0.1:9200/_bulk [status:200 duration:0.015s], elastic_transport.transport
2022-10-21 01:50:14,219, INFO, PUT http://127.0.0.1:9200/_bulk [status:200 duration:0.022s], elastic_transport.transport
2022-10-21 01:50:14,267, INFO, PUT http://127.0.0.1:9200/_bulk [status:200 duration:0.017s], elastic_transport.transport
2022-10-21 01:50:14,310, INFO, PUT http://127.0.0.1:9200/_bulk [status:200 duration:0.015s], elastic_transport.transport
2022-10-21 01:50:14,352, INFO, PUT http://127.0.0.1:9200/_bulk [status:200 duration:0.015s], elastic_transport.transport
2022-10-21 01:50:14,394, INFO, PUT http://127.0.0.1:9200/_bulk [status:200 duration:0.015s], elastic_transport.transport
2022-10-21 01:50:14,434, INFO, PUT http://127.0.0.1:9200/_bulk [status:200 duration:0.014s], elastic_transport.transport
2022-10-21 01:50:14,473, INFO, PUT http://127.0.0.1:9200/_bulk [status:200 duration:0.013s], elastic_transport.transport
2022-10-21 01:50:14,511, INFO, PUT http://127.0.0.1:9200/_bulk [status:200 duration:0.013s], elastic_transport.transport
2022-10-21 01:50:14,557, INFO, PUT http://127.0.0.1:9200/_bulk [status:200 duration:0.013s], elastic_transport.transport
2022-10-21 01:50:14,599, INFO, PUT http://127.0.0.1:9200/_bulk [status:200 duration:0.017s], elastic_transport.transport
2022-10-21 01:50:14,608, INFO, PUT http://127.0.0.1:9200/_bulk [status:200 duration:0.005s], elastic_transport.transport
2022-10-21 01:50:14,608, INFO, Finished loaded., __main__
